"","regio","year","type","duration","max_freq","min_freq","concavity"
"418","newf",2019,"mo18ee2",0.2303333,6524.166667,1995.833333,11
"419","newf",2019,"mo18f",0.167,5240.4,2611.866667,6
"420","newf",2019,"mo18g",0.2563333,6811.866667,2265.866667,9
"421","newf",2019,"mo18h",0.2278333,4584.5833335,2255.033333,10
"422","newf",2019,"mo18hh",0.2378889,5426.5833333,2213.9222222,10
"423","newf",2019,"mo18i",0.2267143,5988.761905,2160.3714286,9
"424","newf",2019,"mo18i_1",0.2233333,5596.766667,1904.933333,6
"425","newf",2019,"mo18i1x",0.191,6426.9,2351.3,5
"426","newf",2019,"mo18i2x",0.2214815,6943.274074,2500.2185186,9
"427","newf",2019,"mo18j",0.2056667,6711.533333,2507.1,7
"428","newf",2019,"mo18jj1",0.207,5777.1,1999.2,6
"429","newf",2019,"mo18jj2",0.2036667,6782.066667,2438.866667,5
"430","newf",2019,"mo18jjj",0.2216667,7063.0333335,2716.5833335,9
"431","newf",2019,"mo18k",0.2723333,7004.5,2402.866667,13
"432","newf",2019,"mo18k1",0.125,4163.6,2166.8,8
"433","newf",2019,"mo18k3",0.2891667,7019.3166665,2558.033333,11
"434","newf",2019,"mo18k4",0.3663333,6627.733333,NA,13
"435","newf",2019,"mo18m1",0.1936667,6217.966667,2690.6,5
"436","newf",2019,"mo6cc",0.1953333,5239.666667,2435.133333,5
"437","newf",2019,"mo6h1",0.1506667,3902.4333333,2458.3,5
"438","newf",2019,"mo91b3",0.1806667,5016,2326.75,6
"439","newf",2019,"mo91b5",0.1575,5282.25,2302.5,6
"440","newf",2019,"mo18hh1",0.225,5688.3,2364.8,9
"441","newf",2019,"mo19",0.119,5113,2428.7,6
"442","newf",2019,"mo88",0.091,5496.5,2812.2,6
