"","regio","year","type","duration","max_freq","min_freq","concavity"
"84","newf",1985,"mo18b2",0.23038095,5343.35714286,2153.36190471,9
"85","newf",1985,"mo18c",0.155,5341.8,2891.833333,3
"86","newf",1985,"mo18d",0.20277778,4998.22222233,1860.75555567,7
"87","newf",1985,"mo18d1",0.2315,5861.45,2214.866667,10
"88","newf",1985,"mo18d1r",0.36211111,5756.6,1680.83333333,13
"89","newf",1985,"mo18d1r1",0.283,5330,2792.75,11
"90","newf",1985,"mo18d1r2",0.3725,7648.15,2208.65,8
"91","newf",1985,"mo18d2_88",0.2245,4915.1,1860.15,8
"92","newf",1985,"mo18d2r2",0.317,6745.733333,2133.466667,7
"93","newf",1985,"mo18d3_88",0.15866667,4587.433333,2268.533333,5
"94","newf",1985,"mo18dd",0.219,5505.0333335,2124.216667,9
"95","newf",1985,"mo18h_l",0.10675,5494.25,2929.625,4
"96","newf",1985,"mo18hh",0.217,5918.66,2211.1866664,10
"97","newf",1985,"mo18i",0.2295,6278.65,2370.4,9
"98","newf",1985,"mo18i_1",0.21733333,4934.261111,1953.438889,7
"99","newf",1985,"mo18i_2",0.16766667,4391.4,1972.4,5
"100","newf",1985,"mo18i1x1",0.2205,6670.9,2356.8,6
"101","newf",1985,"mo18j",0.27066667,5315.5,1934.733333,7
"102","newf",1985,"mo18l",0.23166667,5926.233333,2336.4,11
"103","newf",1985,"mo18nom4",0.294,7140.4,1997.8,11
"104","newf",1985,"mo87a",0.098,4925.5,3162.866667,4
"105","newf",1985,"mo91b3",0.196,5220.45,2153.9,6
"106","west",2005,"mo16a",0.155556,4743.5611,1870.57222,5
"107","west",2005,"mo16b",0.177583,5179.2611,2071.31944,8
"108","west",2005,"mo16b1",0.202167,5547.0667,1947.75,7
"109","west",2005,"mo16bb",0.158854,4680.5542,1975.32917,7
"110","west",2005,"mo16c",0.159417,5004.3,2035.775,6
"111","west",2005,"mo1d",0.156667,6196.0333,3337.66667,9
"112","west",2005,"mo1f",0.208333,5982.9667,2201.43333,10
"113","west",2005,"mo24",0.205733,6516.03,2504.51778,4
"114","west",2005,"mo24-2",0.2385,6560.95,2147.98333,6
"115","west",2005,"mo24a",0.163923,6765.8346,2841.47564,2
"116","west",2005,"mo24a1",0.098,5567.2667,3068.6,2
"117","west",2005,"mo24b",0.228333,6726.5444,2562.02222,8
"118","west",2005,"mo24b1",0.2105,7382,2827.45,10
"119","west",2005,"mo24notop",0.187,6224.9,2805.6,5
"120","west",2005,"mo6",0.118524,5663.1857,3107.71905,3
"121","west",2005,"mo6a",0.179762,5128.781,2330.22381,7
"122","west",2005,"mo6b",0.1465,4435.55,1953.15,6
"123","west",2005,"mo6b1",0.158237,5221.5202,2427.09825,5
"124","west",2005,"mo6c",0.179667,5678.7667,2728.53333,7
"125","west",2005,"mo6c1",0.186333,5654.9667,2323.33333,9
"126","west",2005,"mo6d",0.150667,4241.9667,2058.61667,3
"127","west",2005,"mo6e",0.135956,6281.5133,2842.65111,4
"128","west",2005,"mo6e1",0.131,6800.1333,3482.53333,5
